task_id,category,task_language,task_apps,task_template,task_instantiation
20,Simple Concatenation,English,"['Contacts App', 'Simple SMS Messenger', 'Tasks App']","Define a subworkflow ""ContactAndGreet"": (1) create a new contact for [Name 1] with phone number [Phone Number 1], (2) in Simple SMS Messenger, send an SMS to [Phone Number 1] saying ""Hello [Name 1], welcome"", then create a task titled ""Contacts greeted"" in the Tasks app.","Define a subworkflow ""ContactAndGreet"": (1) create a new contact for {name} with phone number {number}, (2) in Simple SMS Messenger, send an SMS to {number} saying ""Hello {name}, welcome"", then create a task titled ""Contacts greeted"" in the Tasks app."
21,Context Transition,English,"['Markor', 'arduia Pro Expense']","In Markor, open ""receipt.md"" and read the transactions listed in CSV format. Then add each transaction as a new expense in the arduia pro expense app.","In Markor, open ""receipt.md"" and read the transactions listed in CSV format. Then add each transaction as a new expense in the arduia pro expense app."
22,Context Transition,English,"['Markor', 'Simple Calendar Pro']","Read the content of ""meeting_notes.md"" in Markor to find the next meeting date. Then in Simple Calendar Pro app, create an event on that date at 14h, titled ""Follow-up Meeting"", lasting 60 mins, with description ""Based on Markor notes"".","Read the content of ""meeting_notes.md"" in Markor to find the next meeting date. Then in Simple Calendar Pro app, create an event on that date at 14h, titled ""Follow-up Meeting"", lasting 60 mins, with description ""Based on Markor notes""."
23,Context Transition,English,"['Joplin', 'Simple SMS Messenger']",Check the quantity of "sugar" needed for the recipe "Chocolate Cake" in the Joplin app. Then send a text message to [Phone Number 1] with that exact quantity in Simple SMS Messenger.,Check the quantity of "sugar" needed for the recipe "Chocolate Cake" in the Joplin app. Then send a text message to 5551234 with that exact quantity in Simple SMS Messenger.
24,Context Transition,English,"['Broccoli Recipe App', 'Tasks App']",Check how many ingredients are in the recipe 'Pumpkin Soup' in the Broccoli recipe app; then open the Tasks app and create a new task titled 'Buy all ingredients for Pumpkin Soup' with a high priority and include the exact ingredients in the description.,Check how many ingredients are in the recipe 'Pumpkin Soup' in the Broccoli recipe app; then open the Tasks app and create a new task titled 'Buy all ingredients for Pumpkin Soup' with a high priority and include the exact ingredients in the description.
25,Context Transition,English,"['OpenTracks', 'Markor']","Check most recent 'Running' activity distance in OpenTracks, then append that distance under today's date in ""WeeklyFitness.md"" in Markor.","Check most recent 'Running' activity distance in OpenTracks, then append that distance under today's date in ""WeeklyFitness.md"" in Markor."
26,Context Transition,English,"['Tasks App', 'Settings']","In the Tasks app, see if there is a task named [task_name]; if it exists, turn Bluetooth on in system Settings, otherwise turn Bluetooth off in system Settings.","In the Tasks app, see if there is a task named 'Update Firmware'; if it exists, turn Bluetooth on in system Settings, otherwise turn Bluetooth off in system Settings."
27,Context Transition,English,"['Simple Gallery Pro', 'arduia Pro Expense']",Add expenses from expenses.jpg in Simple Gallery Pro into arduia pro expense.,Add expenses from expenses.jpg in Simple Gallery Pro into arduia pro expense.
28,Context Transition,English,"['Joplin', 'Markor']","See if there is a to-do named [todo_name] marked as incomplete in Joplin; if it is incomplete, add 'Report is pending' Append 'Report is pending' to the end of ProjectStatus.md in Markor, otherwise do nothing.","See if there is a to-do named 'Submit Report' marked as incomplete in Joplin; if it is incomplete, add 'Report is pending' Append 'Report is pending' to the end of ProjectStatus.md in Markor, otherwise do nothing."
29,Context Transition,English,"['Markor', 'Simple SMS Messenger']",Create a note "Meeting Update.md" with text "Meeting rescheduled to 4 PM" in Markor and immediately share the content in plain text via Simple SMS Messenger to [Name 1].,Create a note "Meeting Update.md" with text "Meeting rescheduled to 4 PM" in Markor and immediately share the content in plain text via Simple SMS Messenger to Michael Brown.
30,Context Transition,English,"['Joplin', 'Simple Calendar Pro']","Check the Joplin note ""Birthdays"" to extract [Name 1]’s birthdate in YYYY‑MM‑DD format, then in Simple Calendar Pro, create an annual event titled ""[Name 1]’s Birthday"" on that date.","Check the Joplin note ""Birthdays"" to extract Alice’s birthdate in YYYY‑MM‑DD format, then in Simple Calendar Pro, create an annual event titled ""Alice’s Birthday"" on that date."
31,Context Transition,English,"['Simple SMS Messenger', 'Simple Calendar Pro']","Check the conversation with ""[Name 1]"" in Simple SMS Messenger to extract the training session date; then in Simple Calendar Pro, schedule an event titled ""Training Session"" on that date.","Check the conversation with ""HR"" in Simple SMS Messenger to extract the training session date; then in Simple Calendar Pro, schedule an event titled ""Training Session"" on that date."
32,Context Transition,English,"['Simple SMS Messenger', 'Joplin']","Check the conversation with ""[Name 1]"" in Simple SMS Messenger to extract the latest order number, then create a note ""OrderRecord"" in Joplin that logs the extracted order number.","Check the conversation with ""Vendor B"" in Simple SMS Messenger to extract the latest order number, then create a note ""OrderRecord"" in Joplin that logs the extracted order number."
33,Context Transition,English,"['Simple SMS Messenger', 'OsmAnd Maps']","Read the most recent text from '[Name 1]' in Simple SMS Messenger to extract the address included, then create a favorite location marker at that address using latitude and longtitude in the OsmAnd maps app.","Read the most recent text from 'John' in Simple SMS Messenger to extract the address included, then create a favorite location marker at that address using latitude and longtitude in the OsmAnd maps app."
34,Context Transition,English,['Simple SMS Messenger'],"Define a subworkflow ExtractAndForward: (1) Read the latest message from [Name 1] containing [keyword] in Simple SMS Messenger, (2) extract the substring following [keyword] up to the next space, then open Simple SMS Messenger and send that substring to [Name 2] with the prefix ""Info: "". Execute this subworkflow for: (sender = ""[Name 1]"", keyword = ""[keyword 1]"", recipient = ""[Name 2]"")","Define a subworkflow ExtractAndForward: (1) Read the latest message from {sender} containing {keyword} in Simple SMS Messenger, (2) extract the substring following {keyword} up to the next space, then open Simple SMS Messenger and send that substring to {recipient} with the prefix ""Info: "". Execute this subworkflow for: (sender = ""StoreXYZ"", keyword = ""promo code:"", recipient = ""Alice""), and (sender = ""HR"", keyword = ""session on"", recipient = ""TeamLead"")"
35,Context Transition,English,"['Tasks App', 'Simple Calendar Pro']","Define a subworkflow TaskDueToCalendar: (1) Locate the task titled [task] in the Tasks app, (2) extract its due date, (3) Schedule an event titled [task] on the extracted date in Simple Calendar Pro. Then execute TaskDueToCalendar for: (task = ""[task 1]""), (task = ""[task 2]""), (task = ""[task 3]"")","Define a subworkflow TaskDueToCalendar: (1) Locate the task titled {task} in the Tasks app, (2) extract its due date, (3) Schedule an event titled {task} on the extracted date in Simple Calendar Pro. Then execute TaskDueToCalendar for: (task = ""Submit Report""), (task = ""Team Meeting""), (task = ""Budget Review"")"
36,Context Transition,English,"['File Manager', 'Chrome']","Open the file task.html in Downloads in the file manager; when prompted open it with Chrome. Then click the button 5 times, remember the numbers displayed, and enter their product in the form.","Open the file task.html in Downloads in the file manager; when prompted open it with Chrome. Then click the button 5 times, remember the numbers displayed, and enter their product in the form."
37,Context Transition,English,"['Broccoli App', 'Pro Expense App', 'Calendar']","I want to cook Vegetable Stir Fry and Pasta Primavera. Check both recipes in the Broccoli app to get all the ingredients required. Check the detail pages of all the shopping-related expenses in the full expense list in Pro Expense app to derive the monthly shopping expense so far and determine which ingredients still need to be purchased. Then, create a new event for tomorrow in the Calendar with the title: ""Buy the following ingredients: {INGREDIENTS}"", where {INGREDIENTS} should be replaced with the actual list of ingredients that remain to be purchased. In the event description, also include: ""Monthly shopping expenses so far: $X"", where X is the total amount already spent on food this month according to the expense app.","I want to cook Vegetable Stir Fry and Pasta Primavera. Check both recipes in the Broccoli app to get all the ingredients required. Check the detail pages of all the shopping-related expenses in the full expense list in Pro Expense app to derive the monthly shopping expense so far and determine which ingredients still need to be purchased. Then, create a new event for tomorrow in the Calendar with the title: ""Buy the following ingredients: {INGREDIENTS}"", where {INGREDIENTS} should be replaced with the actual list of ingredients that remain to be purchased. In the event description, also include: ""Monthly shopping expenses so far: $X"", where X is the total amount already spent on food this month according to the expense app."
38,Context Transition,English,"['Joplin', 'Expense Pro', 'Markor']","Your task is to compile a weekly expense report. You should review the ""Week_Resolution"" note in the Joplin app which contains 3 key expense tracking guidelines. And you need to examine the expense records in Expense Pro app to identify all expense categories and amounts. After examining the expense resolution and records, create a new note in Markor named ""Weekly_Summary.md"". This summary should contain a markdown table listing each expense type and its current status. Conclude the summary with two resolution statements: ""The resolution for each type of expense: {flag1}"" and ""The resolution for total expense: {flag2}"" - where flag1 and flag2 should be set to either True or False based on your analysis of whether the expenses meet the resolution guidelines.","Your task is to compile a weekly expense report. You should review the ""Week_Resolution"" note in the Joplin app which contains 3 key expense tracking guidelines. And you need to examine the expense records in Expense Pro app to identify all expense categories and amounts. After examining the expense resolution and records, create a new note in Markor named ""Weekly_Summary.md"". This summary should contain a markdown table listing each expense type and its current status. Conclude the summary with two resolution statements: ""The resolution for each type of expense: {flag1}"" and ""The resolution for total expense: {flag2}"" - where flag1 and flag2 should be set to either True or False based on your analysis of whether the expenses meet the resolution guidelines."
39,Context Transition,English,"['OpenTracks', 'Tasks App']","In OpenTracks, retrieve all Running activities recorded between 5:00 AM and 9:00 AM during the past 7 days. Count the total number of morning runs and the total distance covered. Then, in the Tasks app, create a task titled ""Morning Run Goal: Last week [X] runs, [Y] mi — Target 5 runs this week"", replacing [X] and [Y] with the actual numbers.","In OpenTracks, retrieve all Running activities recorded between 5:00 AM and 9:00 AM during the past 7 days. Count the total number of morning runs and the total distance covered. Then, in the Tasks app, create a task titled ""Morning Run Goal: Last week [X] runs, [Y] mi — Target 5 runs this week"", replacing [X] and [Y] with the actual numbers."
40,Context Transition,English,['Markor'],"In Markor, open 'Groceries.md', 'Supplies.md', and 'PartyItems.md'. Each file contains items with quantities in '- ItemName (X)' format, one item per line, where X is the quantity. Calculate the total quantity of each unique item across all three lists. Create a new note 'PopularItems.md' listing all items sorted by total quantity (highest to lowest). Format each line exactly as '- ItemName [N]' where N is the combined quantity.  End the note with a summary line 'Total unique items: X'.","In Markor, open 'Groceries.md', 'Supplies.md', and 'PartyItems.md'. Each file contains items with quantities in '- ItemName (X)' format, one item per line, where X is the quantity. Calculate the total quantity of each unique item across all three lists. Create a new note 'PopularItems.md' listing all items sorted by total quantity (highest to lowest). Format each line exactly as '- ItemName [N]' where N is the combined quantity.  End the note with a summary line 'Total unique items: X'."
41,Deep Dive,English,"['Joplin', 'Simple SMS Messenger']","Locate the ""Pancakes"" recipe in the Joplin app.  Note how much flour it calls for, then scale that amount up for a triple batch.  Finally, use Simple SMS Messenger to send the adjusted flour quantity to [Phone Number 1].","Locate the ""Pancakes"" recipe in the Joplin app.  Note how much flour it calls for, then scale that amount up for a triple batch.  Finally, use Simple SMS Messenger to send the adjusted flour quantity to 444111."
42,Deep Dive,English,"['Simple Gallery Pro', 'Markor']","Locate ""receipt.png"" in the Simple Gallery Pro, and transcribe the transactions into a new Markor note named ""receipt2025.md"" in CSV format with the header ""Date,Item,Amount"". Then sum all amounts and write that total at the bottom of the note.","Locate ""receipt.png"" in the Simple Gallery Pro, and transcribe the transactions into a new Markor note named ""receipt2025.md"" in CSV format with the header ""Date,Item,Amount"". Then sum all amounts and write that total at the bottom of the note."
43,Deep Dive,English,"['Joplin', 'Simple Calendar Pro']","Read the note 'TeamMeetings' in Joplin that lists multiple future meeting times, identify the earliest date and time,  then create an event at that slot titled 'Earliest Team Meeting' in Simple Calendar Pro.","Read the note 'TeamMeetings' in Joplin that lists multiple future meeting times, identify the earliest date and time,  then create an event at that slot titled 'Earliest Team Meeting' in Simple Calendar Pro."
44,Deep Dive,English,['Markor'],"Read the Markor note ""Feedback.md"" containing dozens of bullet‑point customer comments; perform sentiment analysis to count how many comments are positive versus negative, then in the same app, create a new note ""FeedbackSummary.md"" with the text ""Positive: X, Negative: Y"" where X and Y are the counts.","Read the Markor note ""Feedback.md"" containing dozens of bullet‑point customer comments; perform sentiment analysis to count how many comments are positive versus negative, then in the same app, create a new note ""FeedbackSummary.md"" with the text ""Positive: X, Negative: Y"" where X and Y are the counts."
45,Deep Dive,English,"['Broccoli Recipe App', 'Simple Calendar Pro', 'Simple SMS Messenger']","Find the recipe ""Pasta Salad"" in the Broccoli recipe app to extract its preparation time in minutes, then retrieve the start time of your next event today in Simple Calendar Pro, calculate whether the cooking time fits before that event, and in Simple SMS Messenger, send ""Enough Time"" if it fits or ""Not Enough Time"" otherwise to ""Time Checker"".","Find the recipe ""Pasta Salad"" in the Broccoli recipe app to extract its preparation time in minutes, then retrieve the start time of your next event today in Simple Calendar Pro, calculate whether the cooking time fits before that event, and in Simple SMS Messenger, send ""Enough Time"" if it fits or ""Not Enough Time"" otherwise to ""Time Checker""."
46,Deep Dive,English,"['Simple SMS Messenger', 'Simple Calendar Pro']","Read the latest invitation message from ""[Name 1]"" containing an event date and time in Simple SMS Messenger, extract that date/time, then open Simple Calendar Pro to check for any event or task at that time; reply ""Will Attend"" in Simple SMS Messenger if no conflict or ""Cannot Attend"" if there is a conflict.","Read the latest invitation message from ""EventOrg"" containing an event date and time in Simple SMS Messenger, extract that date/time, then open Simple Calendar Pro to check for any event or task at that time; reply ""Will Attend"" in Simple SMS Messenger if no conflict or ""Cannot Attend"" if there is a conflict."
47,Deep Dive,English,"['Simple SMS Messenger', 'Markor']","Read the latest message from ""[Name 1]"" containing a true/false question at the end in Simple SMS Messenger; consult the Markor note ""survey_context.md"" for context, determine whether the answer is ""True"" or ""False"", then reply with that single word.","Read the latest message from ""SurveyBot"" containing a true/false question at the end in Simple SMS Messenger; consult the Markor note ""survey_context.md"" for context, determine whether the answer is ""True"" or ""False"", then reply with that single word."
48,Deep Dive,English,"['arduia Pro Expense', 'Markor']","Check the expenses in arduia pro expense and sum all ""Travel"" expenses from this month, then in Markor create a note ""TravelBudgetStatus.md"" with the single line ""Over Budget"" if the sum exceeds 500 or ""Within Budget"" otherwise.","Check the expenses in arduia pro expense and sum all ""Travel"" expenses from this month, then in Markor create a note ""TravelBudgetStatus.md"" with the single line ""Over Budget"" if the sum exceeds 500 or ""Within Budget"" otherwise."
49,Deep Dive,English,"['Joplin', 'Markor']","Find the note ""Budget vs Expense.md"" in Joplin. This note contains a CSV table with budget Categories, Planned amounts, and Actual amounts. Calculate the Variance (Actual minus Planned) for each category. Identify the single category with the largest positive variance (highest overspend). Then create a new note named ""budget_variance_report.md"" in Markor with EXACTLY the following format: # Budget Variance Report Category: [CATEGORY_NAME] Planned: $[PLANNED_AMOUNT] Actual: $[ACTUAL_AMOUNT] Variance: $[VARIANCE_AMOUNT] The [CATEGORY_NAME] category has the highest overspend. Replace the placeholders with the appropriate values, maintaining the exact formatting shown. Use 2 decimal places for all monetary values preceded by a dollar sign. For example, if Travel is the category with highest overspend, with planned $500.00, actual $591.15, and variance $91.15, the final report should show those exact values.","Find the note ""Budget vs Expense.md"" in Joplin. This note contains a CSV table with budget Categories, Planned amounts, and Actual amounts. Calculate the Variance (Actual minus Planned) for each category. Identify the single category with the largest positive variance (highest overspend). Then create a new note named ""budget_variance_report.md"" in Markor with EXACTLY the following format: # Budget Variance Report Category: [CATEGORY_NAME] Planned: $[PLANNED_AMOUNT] Actual: $[ACTUAL_AMOUNT] Variance: $[VARIANCE_AMOUNT] The [CATEGORY_NAME] category has the highest overspend. Replace the placeholders with the appropriate values, maintaining the exact formatting shown. Use 2 decimal places for all monetary values preceded by a dollar sign. For example, if Travel is the category with highest overspend, with planned $500.00, actual $591.15, and variance $91.15, the final report should show those exact values."
50,Deep Dive,English,"['Markor', 'Simple Calendar Pro']","Define a subworkflow ExtractDeadline: (1) read Markor note {file} and extract all dates following ""Deadline:"", (2) choose the earliest; then execute ExtractDeadline for: (file = ""[File 1]""), (file = ""[File 2]""), (file = ""[File 3]"") and after each run schedule an event ""Deadline for [file]"" on the extracted date in Simple Calendar Pro.","Define a subworkflow ExtractDeadline: (1) read Markor note {file} and extract all dates following ""Deadline:"", (2) choose the earliest; then execute ExtractDeadline for: (file = ""ProjectPlan.md""), (file = ""Roadmap.md""), (file = ""Goals.md""), and after each run schedule an event ""Deadline for {file}"" on the extracted date in Simple Calendar Pro."
